,Customer ID,Recency,Frequency,Monetary Value,Monetary Value_log,Frequency_log,Cluster
0,12346.0,326,1,77183.6,11.253955234248428,0.6931471805599453,2
1,12347.0,2,7,4310.0,8.368925174747135,2.079441541679836,2
2,12348.0,75,4,1797.24,7.494563687769957,1.6094379124341005,2
3,12349.0,19,1,1757.55,7.472244884833674,0.6931471805599453,0
4,12350.0,310,1,334.4,5.815323849389109,0.6931471805599453,1
5,12352.0,36,8,2506.04,7.826858053356098,2.19722457733622,2
6,12353.0,204,1,89.0,4.499809670330265,0.6931471805599453,1
7,12354.0,232,1,1079.4,6.985086621918461,0.6931471805599453,1
8,12355.0,214,1,459.4,6.132095676847728,0.6931471805599453,1
9,12356.0,23,3,2811.43,7.941804157314053,1.3862943611198906,2
10,12357.0,33,1,6207.67,8.733701981297274,0.6931471805599453,0
11,12358.0,2,2,1168.06,7.063955286074528,1.0986122886681096,0
12,12359.0,58,4,6372.58,8.759916600117213,1.6094379124341005,2
13,12360.0,52,3,2662.06,7.887231116540211,1.3862943611198906,2
14,12361.0,287,1,189.9,5.251749730731702,0.6931471805599453,1
15,12362.0,3,10,5226.23,8.56163678004062,2.3978952727983707,2
16,12363.0,110,2,552.0,6.315358001522335,1.0986122886681096,0
17,12364.0,8,4,1313.1,7.180907299649593,1.6094379124341005,2
18,12365.0,291,2,641.38,6.465180028897591,1.0986122886681096,1
19,12367.0,4,1,168.9,5.135210028677887,0.6931471805599453,0
20,12370.0,51,4,3545.69,8.173770053153254,1.6094379124341005,2
21,12371.0,45,2,1887.96,7.543781692052325,1.0986122886681096,0
22,12372.0,72,3,1298.04,7.169380809114136,1.3862943611198906,0
23,12373.0,311,1,364.6,5.901539839579995,0.6931471805599453,1
24,12374.0,25,1,742.9300000000001,6.61194694438522,0.6931471805599453,0
25,12375.0,11,2,457.5,6.127960291696519,1.0986122886681096,0
26,12377.0,315,2,1628.12,7.395795270713971,1.0986122886681096,1
27,12378.0,130,1,4008.62,8.29645175271804,0.6931471805599453,0
28,12379.0,82,2,852.24,6.749040867823617,1.0986122886681096,0
29,12380.0,22,4,2724.81,7.910520910634419,1.6094379124341005,2
30,12381.0,5,5,1845.31,7.520944331624911,1.791759469228055,2
31,12383.0,185,5,1850.56,7.523783805985769,1.791759469228055,2
32,12384.0,29,2,585.27,6.373780434317173,1.0986122886681096,0
33,12386.0,338,2,401.9,5.998688392197302,1.0986122886681096,1
34,12388.0,16,6,2780.66,7.930803150780257,1.9459101490553128,2
35,12390.0,80,1,549.84,6.311444385858925,0.6931471805599453,0
36,12391.0,22,1,460.89,6.1353267674944725,0.6931471805599453,0
37,12393.0,72,4,1582.6,7.367456015231975,1.6094379124341005,2
38,12394.0,64,2,1272.48,7.149508589545504,1.0986122886681096,0
39,12395.0,19,12,3018.63,8.012889586306857,2.5649493574615367,2
40,12397.0,36,2,2409.9,7.7877554007552545,1.0986122886681096,0
41,12398.0,46,1,1635.66,7.400412858792404,0.6931471805599453,0
42,12399.0,119,4,1108.65,7.011799929268738,1.6094379124341005,0
43,12401.0,303,1,84.3,4.446174454497633,0.6931471805599453,1
44,12402.0,323,1,225.6,5.423186348593906,0.6931471805599453,1
45,12403.0,50,1,427.7,6.060757373603932,0.6931471805599453,0
46,12405.0,149,1,1710.39,7.445061184797548,0.6931471805599453,0
47,12406.0,22,2,3415.3,8.136313373066384,1.0986122886681096,2
48,12407.0,50,5,1708.12,7.443733897151405,1.791759469228055,2
49,12408.0,33,5,2888.55,7.968856059639959,1.791759469228055,2
50,12409.0,79,3,11072.67,9.312325497408466,1.3862943611198906,2
51,12410.0,309,2,693.3299999999999,6.542947351813216,1.0986122886681096,1
52,12412.0,75,3,1226.88,7.113044384062484,1.3862943611198906,0
53,12413.0,67,3,758.1,6.632133521022722,1.3862943611198906,0
54,12414.0,217,3,562.41,6.334007604663525,1.3862943611198906,1
55,12415.0,24,21,124914.53,11.735393027855736,3.091042453358316,2
56,12417.0,3,9,3649.1,8.202509843461513,2.302585092994046,2
57,12418.0,113,1,668.58,6.506650650150935,0.6931471805599453,0
58,12420.0,64,1,600.39,6.3992436425478765,0.6931471805599453,0
59,12421.0,16,4,807.04,6.69461156224626,1.6094379124341005,0
60,12422.0,96,3,803.5600000000001,6.690295544136225,1.3862943611198906,0
61,12423.0,1,8,1859.31,7.528498419486568,2.19722457733622,2
62,12424.0,163,2,1760.96,7.474182104762846,1.0986122886681096,0
